oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
17411626,58.654314958007916,24.009338985404437,"2MASS J03543702+2400335",0.1276,-235.613998,3.349,-7.561
21411515,58.69774957525042,24.399841538119446,"2MASS J03544744+2423595",0.5455,21.88,7.226,-2.44
675941,58.47785375310999,23.12984698716,"AG+22  363",1.5462,-41.75,1.082,-8.121
661305,54.73224012103001,24.0781723459,"AKARI-IRC-V1 J0338557+240441",0.3097,-0.7,0.955,-0.728
6347707,55.593787281,22.97634588424,"ATO J055.5937+22.9763",1.4917,50.5,-11.273,-1.5
674467,56.47725779106,24.252652851280004,"ATO J056.4772+24.2526",0.3754,34.22,-0.498,-1.32
17499667,57.65045081271042,24.801145231913612,"ATO J057.6504+24.8011",0.6895,-72.59,-0.76,-5.752
17392198,58.44665191501666,23.835442679538055,"ATO J058.4466+23.8354",0.8195,-45.32,-1.188,-4.164
661797,55.600101971037915,22.42113876972778,"BD+21   503",7.3258,5.641,19.753,-44.405
661916,55.88920205084,22.437094875639996,"BD+21   509",0.9361,-68.92,-5.615,-7.333
661689,56.23367205312,22.26936562131,"BD+21   513",1.9802,19.67,9.596,-11.346
661674,54.87156871988,23.430476820270002,"BD+22   524",2.0237,-45.62,21.792,-18.29
661677,55.25090767088,23.4486927482,"BD+22   528",1.4467,17.55,6.522,1.834
675814,56.354357553499995,23.19250808927,"BD+22   542",10.85,-12.55,-54.375,-48.614
675567,56.52508572421,23.2190230171,"BD+22   547",1.7051,17.74,3.344,-9.786
675568,56.54184313456,23.340012739590005,"BD+22   548",8.1859,6.33,21.082,-49.851
675574,56.710568526660005,23.23917964156,"BD+22   553",6.5667,6.71389,18.082,-40.43
675575,56.717495467640006,23.21054738167,"BD+22   554",1.204,-65.44,0.222,-6.194
675817,56.98399815065,23.19197797846,"BD+22   558",1.0697,-36.82,6.034,-10.036
675816,56.97904059966,23.43719800343,"BD+22   559",1.9871,33.47,8.948,-9.518
676289,57.01891485069,23.38246314248,"BD+22   560",1.5627,26.3,-1.411,-4.023
676288,57.4147575049,23.055117043510002,"BD+22   571",0.7054,-4.26,4.204,-4.129
675930,57.48540032143,23.218623426409998,"BD+22   574",6.9215,6.74768,18.921,-43.201
675934,57.725156500000004,23.153313899999997,"BD+22   578",,-6.07089,0.5,-6.7
660978,54.80613659059,24.46652256353334,"BD+23   486",7.1181,5.84884,19.811,-44.515
661345,55.69138216604,24.27123258076,"BD+23   492",1.5591,-31.41,-5.551,-16.554
660983,55.7327629467,23.876325842630003,"BD+23   493",2.7284,-39.52,-9.27,-1.562
661648,55.80839626316,23.72347908026,"BD+23   494",1.0458,-17.95,0.52,-6.853
660900,55.98053595502001,24.25032393924,"BD+23   498",2.1592,-3.04,-1.247,-7.955
660989,56.054418768599994,24.030819801889997,"BD+23   501A",7.5948,4.804,21.405,-45.886
660990,56.053064169544164,24.031792897553892,"BD+23   501B",7.3635,5.69855,20.146,-45.145
660992,56.06106270000001,24.101882,"BD+23   502",,6.721,19.3,-47.6
13871170,56.06095827418,24.10210772448,"BD+23   502A",7.1376,6.897,20.709,-43.437
661665,56.20142098080001,23.58996541984,"BD+23   506",1.4737,-1.35,6.494,-9.923
674193,56.42251179582001,24.28860017761,"BD+23   513",8.7167,7.91329,13.246,-46.991
674166,56.42439669769,24.43151553198,"BD+23   514",7.3745,7.36262,20.511,-44.714
674490,56.4566780611,24.42660008732,"BD+23   515",1.1681,-28.21,-0.137,-2.971
674492,56.53209095052,24.06161655778,"BD+23   518",7.8169,-1.28,-30.476,21.712
675541,56.57496625243499,23.486649793936945,"BD+23   521",7.1793,5.98383,19.819,-43.241
675546,56.72394349165124,23.583554615187495,"BD+23   527",7.4974,6.51852,20.796,-45.154
675815,56.8210789384,23.9141708103,"BD+23   532",0.545,-36.03,-3.094,-2.466
675550,56.81731953121,23.818875173609996,"BD+23   533",10.2306,-4.51,-33.733,2.527
675557,56.91615617524,24.00333224117,"BD+23   543",1.536,-13.09,3.901,0.946
675804,56.98162084457,23.46502235932,"BD+23   546",2.5012,-49.549,13.231,-41.726
676542,57.070432737656255,23.63678341662333,"BD+23   551",7.1944,6.364,18.292,-44.757
676290,57.47198137999,23.53065124228,"BD+23   566",1.7162,19.663099,4.01,-11.807
675912,57.81384034135,23.621780452829995,"BD+23   572",2.4311,14.272,2.306,-9.017
674153,56.29078413535,24.484396429819995,"BD+24   547B",5.906,-0.87,-11.049,-14.631
674491,56.52558452728999,25.017065509000002,"BD+24   557",5.5887,-3.58,1.984,-50.035
674541,56.76491500590999,24.637124099770002,"BD+24   564",1.2816,14.7,0.734,2.598
